id,date,restaurant_id,*,**,***
9417,2013-12-30,rJoQVAOV,0,0,0
9309,2010-02-25,njoZKbOr,1,0,2
9462,2010-08-04,XJ3r4qOR,4,2,0
27235,2013-11-18,6K3lG5Ez,2,1,0
20652,2008-05-07,lnORDD3N,9,2,2
19187,2009-03-16,geEVMJOz,4,0,0
22730,2007-12-19,Y1Emv93w,5,0,0
22134,2012-01-17,8xExpWE0,5,0,1
282,2008-03-25,WeEe9VEa,4,1,1
23500,2012-12-30,6Wo2mV39,0,0,0
26782,2013-01-08,6K3l6vOz,4,1,0
23496,2011-08-31,p038NGOm,0,0,0
21193,2011-10-26,6K3lmKoz,5,1,0
3007,2015-02-23,V4302yOB,3,0,0
30932,2012-08-06,7RO5YrOq,9,0,5
1947,2012-09-17,we397lOk,0,0,0
1753,2013-04-25,qN3gpYoA,4,0,1
28819,2010-09-07,m0oW02OG,2,0,0
8037,2008-05-20,Y1EmaVEw,12,0,2
14247,2010-11-18,0j3L0L3r,7,1,2
4250,2007-11-15,JBEyrV38,4,1,0
21196,2010-05-20,8xExQV30,8,1,4
15112,2008-01-07,8xExX9E0,12,0,2
2343,2008-12-01,6K3lMxoz,1,0,1
29044,2010-03-26,rNo6Ag36,0,0,0
422,2012-04-04,wmo749Oq,4,0,0
23564,2009-01-09,lnORmdoN,0,0,0
3463,2012-05-18,KAoK96Eg,9,1,0
19046,2014-04-02,8x3zj93k,5,0,1
4809,2010-10-28,Y1Emv93w,4,0,0
16850,2007-10-22,1m3MpyEB,1,0,0
12714,2008-10-22,lnORXK3N,9,1,0
1731,2007-07-13,qN3g1QOA,4,1,0
18599,2009-03-25,ekE4N0o2,1,1,3
2376,2014-09-12,7RO5wd3q,8,0,1
9965,2008-05-09,wmo7R73q,12,2,0
19160,2009-01-15,0j3L0L3r,6,0,0
14912,2014-10-23,eVOB8w3j,2,0,0
9373,2013-07-16,0ZEDdkED,6,0,2
23118,2011-09-30,ZBEnXKoY,1,0,0
15639,2009-10-01,8x3zNb3k,0,0,0
7341,2009-07-30,JBEyamE8,3,0,0
23164,2011-12-12,NbE1yJEJ,1,0,1
1304,2013-03-26,Y1EmJV3w,0,0,0
3923,2010-10-07,7RO5edOq,0,0,0
21205,2012-12-30,JBEyV38X,0,0,0
27301,2011-10-18,N6OkLgEx,6,0,0
11948,2010-05-06,Pk3wrqEd,3,0,0
